Page,Section,Description,Filename,Uploader,Date
159,POP Pre 50's - 60's (Music Pre 50's),"Hinky,Dinky Parleevoo",parleevoo.mus,Gallanteer,09/06/89
159,POP Pre 50's - 60's (Music Pre 50's),Holiday for Trumpet,holiday.mus,Steve c7,08/26/87
159,POP Pre 50's - 60's (Music Pre 50's),Hundred Pounds of Clay,pounds/clay.mus,TomB24,09/24/87
159,POP Pre 50's - 60's (Music Pre 50's),"I Don't Know,l Just Do",i dont know.mus,Tx general,04/14/90
159,POP Pre 50's - 60's (Music Pre 50's),I'll Get By HarryJames *,ill get by.mus,Tx general,04/14/90
160,POP Pre 50's - 60's (Music Pre 50's),If You Knew Susie,susie.mus,Music man3,08/20/89
160,POP Pre 50's - 60's (Music Pre 50's),In The Mood E,/in the mood.sal,ErnestT1,07/16/89
160,POP Pre 50's - 60's (Music Pre 50's),In The Mood E *,/in the mood.mus,Salren,01/20/90
160,POP Pre 50's - 60's (Music Pre 50's),In a Big Country *,big country.mus,PaulL24,04/22/88
160,POP Pre 50's - 60's (Music Pre 50's),Isle of Capri (mus),isle/capri.mus,ScottS47,07/06/89
160,POP Pre 50's - 60's (Music Pre 50's),Isle of Capri (words),isle/capri.wds,ScottS47,07/06/89
160,POP Pre 50's - 60's (Music Pre 50's),It Had To Be You,ithadtobeyou.mus,Bea W,12/13/89
160,POP Pre 50's - 60's (Music Pre 50's),J.D.'s Boogie Woogie,j. d. boogie.mus,Bobbie0426,09/10/87
160,POP Pre 50's - 60's (Music Pre 50's),JD's Boogie (rmx),jds bar/mix.mus,GlenD5,09/30/89
160,POP Pre 50's - 60's (Music Pre 50's),JD's Boogie Woogie,jds boogie.mus,TomB24,09/09/89
160,POP Pre 50's - 60's (Music Pre 50's),Jeanie w.Lt Brown Hair,jeanie.mus,Tx general,01/02/88
160,POP Pre 50's - 60's (Music Pre 50's),Lazy Moon-RosamondJohnson,lazymoon.mus,VeeGER2,01/23/88
160,POP Pre 50's - 60's (Music Pre 50's),Let The Little Girl Dance,letgirldance.mus,Melody,09/26/87
160,POP Pre 50's - 60's (Music Pre 50's),Little Girl Blue,lilgirlblue.mus,Railbird1,06/07/88
160,POP Pre 50's - 60's (Music Pre 50's),Lollipop,lollipop.mus,K C3,03/26/87
160,POP Pre 50's - 60's (Music Pre 50's),Looking Good,looking good.mus,Railbird1,08/08/88
160,POP Pre 50's - 60's (Music Pre 50's),Love Everlasting *,luv/evrlastn.mus,VeeGER2,10/20/88
160,POP Pre 50's - 60's (Music Pre 50's),Love You Too,love you to.mus,Kull,11/18/87
160,POP Pre 50's - 60's (Music Pre 50's),Lullaby of Broadway E *,/lulaby bway.mus,Slip note,07/06/89
160,POP Pre 50's - 60's (Music Pre 50's),Malaguena,malaguena.mus,WilliamB56,09/12/87
160,POP Pre 50's - 60's (Music Pre 50's),Miami Beach Rhumba,miamirhumba.mus,Bobbie0426,09/10/87
160,POP Pre 50's - 60's (Music Pre 50's),Mint Julip,mint julip.mus,Railbird1,02/13/88
160,POP Pre 50's - 60's (Music Pre 50's),Mississippi Mud,miss/mud.mus,Lyric Note,02/17/87
160,POP Pre 50's - 60's (Music Pre 50's),Moonlight Serenade-G.Mill,moonlight.mus,Lyric,01/16/87
160,POP Pre 50's - 60's (Music Pre 50's),Nola,nola.mus,Bobbie0426,08/30/87
160,POP Pre 50's - 60's (Music Pre 50's),Nola,nola.mus,QuakerOtis,10/29/88
160,POP Pre 50's - 60's (Music Pre 50's),Nola *,nola.mus,Jon lane,07/12/90
160,POP Pre 50's - 60's (Music Pre 50's),Nola *,nola.mus,Music man3,08/07/90
160,POP Pre 50's - 60's (Music Pre 50's),"Oh Johnny,Oh Johhy,Oh!",oh johnny.mus,Bobbye,02/08/87
160,POP Pre 50's - 60's (Music Pre 50's),Oh Susanna,oh susanna g.mus,JBD,05/16/87
160,POP Pre 50's - 60's (Music Pre 50's),"Oh, What a Night *",what a night.mus,Railbird1,03/30/88
160,POP Pre 50's - 60's (Music Pre 50's),On The Sunny Side/Street,sunny/street.mus,DaleC1,10/08/86
160,POP Pre 50's - 60's (Music Pre 50's),Open Thy Lattice Love,lattice love.mus,Harryf2,01/07/89
160,POP Pre 50's - 60's (Music Pre 50's),Palm Garden-Fats Waller,palm garden.mus,DalFau,06/22/87
160,POP Pre 50's - 60's (Music Pre 50's),Paper Doll,paper doll.mus,Bobbie0426,09/10/87
160,POP Pre 50's - 60's (Music Pre 50's),Paris Skies *,paris skies.mus,Music man3,11/02/89
160,POP Pre 50's - 60's (Music Pre 50's),Perfidia,perfidia.mus,DalFau,03/11/88
160,POP Pre 50's - 60's (Music Pre 50's),Perfidia E *,/perfidia.sal,ErnestT1,07/16/89
160,POP Pre 50's - 60's (Music Pre 50's),Pink Silk Stockings,pink silk.mus,Tryin,11/24/89
160,POP Pre 50's - 60's (Music Pre 50's),Pizzicato Polka,p polka.mus,Mike58,06/03/89
160,POP Pre 50's - 60's (Music Pre 50's),Rain Drops-Inez Howell,rain drops.mus,Tx general,09/07/88
160,POP Pre 50's - 60's (Music Pre 50's),Raindrops On The Water *,raindrops.mus,Phil B10,02/19/90
160,POP Pre 50's - 60's (Music Pre 50's),Red River Valley,red river l.mus,JBD,05/16/87
160,POP Pre 50's - 60's (Music Pre 50's),Satin Doll,satin doll.mus,DiskDrivr,02/22/87
160,POP Pre 50's - 60's (Music Pre 50's),Sea Of Love,seaoflove.mus,Daspf,03/17/87
160,POP Pre 50's - 60's (Music Pre 50's),Serenade In Blue,sere/blue.mus,Lyric,01/16/87
160,POP Pre 50's - 60's (Music Pre 50's),Sh-Boom,sh-boom.mus,Bill H21,06/25/87
160,POP Pre 50's - 60's (Music Pre 50's),Since I Don't Have You *,sinceidont.mus,Railbird1,04/21/88
160,POP Pre 50's - 60's (Music Pre 50's),Some Folks,somefolks.mus,Harryf2,01/11/89
160,POP Pre 50's - 60's (Music Pre 50's),Somewhere Over TheRainbow,somewhere o.mus,JBD,05/16/87
160,POP Pre 50's - 60's (Music Pre 50's),Song of All Songs,song of song.mus,Harryf2,01/07/89
160,POP Pre 50's - 60's (Music Pre 50's),Song of the Bells *,songofbells.mus,WilliamB56,11/07/87
160,POP Pre 50's - 60's (Music Pre 50's),SophisticatdLady-EIIingtn,sophis-lady.mus,Dan24,03/09/87
160,POP Pre 50's - 60's (Music Pre 50's),Sophisticated Lady,slady.mus,Fwp,02/24/88
160,POP Pre 50's - 60's (Music Pre 50's),Spanish Eyes,spanish eyes.mus,The Saxman,10/29/89
160,POP Pre 50's - 60's (Music Pre 50's),Spanish Eyes,spanisheyes.mus,Cicada,02/25/90
160,POP Pre 50's - 60's (Music Pre 50's),Spanish Eyes - Mono *,seyes.mus,Sibelius,07/23/89
160,POP Pre 50's - 60's (Music Pre 50's),Spanish Eyes-AI Martino,spanish eyes.mus,Terryw,10/22/86
160,POP Pre 50's - 60's (Music Pre 50's),Stompin - Goodman,stompin.mus,FWP,02/14/87
160,POP Pre 50's - 60's (Music Pre 50's),Stormy Weather,strmyweather.mus,Railbird1,06/01/88
160,POP Pre 50's - 60's (Music Pre 50's),Summertime In Venice,summr/venice.mus,DalFau,03/22/88
160,POP Pre 50's - 60's (Music Pre 50's),Swanee River,swanee.mus,TRC RAT,08/23/89
160,POP Pre 50's - 60's (Music Pre 50's),Sweetheart/California,callet.mus,Daspf,05/19/87
160,POP Pre 50's - 60's (Music Pre 50's),Tango D'Antan *,tango dantan.mus,DalFau,05/17/88
160,POP Pre 50's - 60's (Music Pre 50's),Tango-Albeniz *,tango.mus,Mike58,05/29/89
160,POP Pre 50's - 60's (Music Pre 50's),That's Whats the Matter,the matter.mus,Harryf2,01/07/89
161,POP Pre 50's - 60's (Music Pre 50's),The Very Thought Of You,verythotyou.mus,DalFau,03/23/88
161,POP Pre 50's - 60's (Music Pre 50's),There Is/Tavern/Town,tavern.mus,Harryf2,02/19/89
161,POP Pre 50's - 60's (Music Pre 50's),There are Plenty Fish/Sea,fish in sea.mus,Harryf2,01/07/89
161,POP Pre 50's - 60's (Music Pre 50's),Twenties Medley,twenties.mus,Dr J5,09/08/86
161,POP Pre 50's - 60's (Music Pre 50's),Twenties Medley(rmx),twentiesrmix.mus,JJ 4,03/15/89
161,POP Pre 50's - 60's (Music Pre 50's),Twilight in Turkey,twilight.mus,Russo,08/20/87
161,POP Pre 50's - 60's (Music Pre 50's),When My Baby Smiles,whenmybaby.mus,PaulK33,12/13/87
161,POP Pre 50's - 60's (Music Pre 50's),Whispering E,/whispering.mus,Tryin,10/25/89
161,POP Pre 50's - 60's (Music Pre 50's),Whispering Hope,whisp hope.slr,Ken LO,01/04/90
161,POP Pre 50's - 60's (Music Pre 50's),Why Don't you do it Right,do right.mus,Bobbye,02/08/87
161,POP Pre 50's - 60's (Music Pre 50's),Yakety Sax,radical.mus,The Joker!,01/01/88
161,POP Pre 50's - 60's (Music Pre 50's),Yellow Rose Of Texas,yellow ros g.mus,JBD,05/16/87
161,POP Pre 50's - 60's (Words Pre 50's),A Foggy Day Sinatra,/a foggy day.sal,ErnestT1,04/21/90
161,POP Pre 50's - 60's (Words Pre 50's),Adios Madriguera E,/adios.sal,ErnestT1,07/09/89
161,POP Pre 50's - 60's (Words Pre 50's),After the Ball,aftertheball.sal,Emarbekay,06/15/89
161,POP Pre 50's - 60's (Words Pre 50's),Alabamy Bound E,/alabamy-bnd.sal,ErnestT1,07/04/89
161,POP Pre 50's - 60's (Words Pre 50's),Alexander,alexander.sal,EdC14,08/26/89
161,POP Pre 50's - 60's (Words Pre 50's),All of Me,all of me.sal,LeeD7,02/25/89
161,POP Pre 50's - 60's (Words Pre 50's),Alley Cat Song,alley cat.sal,DCSTARnCPR,03/18/87
161,POP Pre 50's - 60's (Words Pre 50's),Always - Irving Berlin,always.sal,Emarbekay,06/15/89
161,POP Pre 50's - 60's (Words Pre 50's),Always in My Heart E,/always/hart.sal,ErnestT1,06/26/89
161,POP Pre 50's - 60's (Words Pre 50's),Am I Blue *,am i blue.sal,Whole Note,04/08/90
161,POP Pre 50's - 60's (Words Pre 50's),An Affair to Remember,affair.sal,SID EDITOR,11/05/89
161,POP Pre 50's - 60's (Words Pre 50's),Autumn Seranade E,/autumn/ser.sal,RaiderMC,06/21/89
161,POP Pre 50's - 60's (Words Pre 50's),Baby Face 1 of 2,baby face.wds,Spiecher,05/06/87
161,POP Pre 50's - 60's (Words Pre 50's),Baby Face 2 of 2,baby face.mus,Spiecher,05/06/87
161,POP Pre 50's - 60's (Words Pre 50's),Ballerina,ballerina.sal,QuakerOtis,10/20/88
161,POP Pre 50's - 60's (Words Pre 50's),Barney Google,b.google.sal,Lear,12/26/88
161,POP Pre 50's - 60's (Words Pre 50's),Begin the Beguine E,/beguine.sal,QuakerOtis,08/10/89
161,POP Pre 50's - 60's (Words Pre 50's),Bicycle Built for Two,daisey belle.sal,TRC RAT,01/01/89
161,POP Pre 50's - 60's (Words Pre 50's),Blue Bolero E,blue bolero.sal,ErnestT1,05/11/89
161,POP Pre 50's - 60's (Words Pre 50's),Blue Boogie,blue boogie.sal,EdC14,12/30/89
161,POP Pre 50's - 60's (Words Pre 50's),Blue Hawaii E,/blue hawaii.sal,ErnestT1,04/10/90
161,POP Pre 50's - 60's (Words Pre 50's),Blue Tail Fly ExWds *,bluetail fly.sal,QuakerOtis,08/05/90
161,POP Pre 50's - 60's (Words Pre 50's),Boogie Woogie Bugle Boy,boogiebugle.sal,Daspf,12/25/86
161,POP Pre 50's - 60's (Words Pre 50's),Brown Eyes Why/So Blue,brown eyes.sal,ErnestT1,06/26/89
